ds,yhat,yhat_lower,yhat_upper
2025-06-21,22.629758913787878,15.70102397792356,29.483791240422992
2025-06-22,22.901887417436825,16.684745290973115,29.68595814271082
2025-06-23,23.578781457965412,16.665007746092314,30.739529022677456
2025-06-24,23.673285523501196,16.307540045419046,29.865636617095667
2025-06-25,23.85938050125269,17.43715073048656,30.73553895136597
2025-06-26,23.61944327732592,17.30636294213089,30.244926408677618
2025-06-27,23.798196305776205,16.845072433641633,30.545300069083034
2025-06-28,23.59726439348377,16.915338691160493,30.25253243088009
2025-06-29,23.869392897134468,16.760091223589125,30.91965798681195
2025-06-30,24.54628693766253,18.08807296053986,31.182737454022067
2025-07-01,24.64079100319851,17.81365663042522,31.222267848381524
2025-07-02,24.826885980949207,17.781929074087873,31.17385024450769
2025-07-03,24.58694875702298,17.433951497272997,31.405242899079482
2025-07-04,24.765701785473244,18.04243002866321,31.577504465461026
2025-07-05,24.56476987318056,18.058582240202636,31.318006787078843
2025-07-06,24.83689837683032,17.57838677320705,31.525806109601618
2025-07-07,25.51379241735966,18.614992702554957,32.356925530040186
2025-07-08,25.60829648289459,18.757551149564744,32.90245413705187
2025-07-09,25.794391460645706,18.922791966634307,32.479941467878135
2025-07-10,25.554454236719288,18.83832810308725,31.63233018565108
2025-07-11,25.73320726516958,19.06484033598163,32.38538582702946
2025-07-12,25.53227535287695,18.843824082584288,32.51943258961629
2025-07-13,25.80440385652646,18.960304118234777,32.945883196379455
2025-07-14,26.481297897056777,19.692400581299932,33.01074403764687
2025-07-15,26.575801962591527,19.83699039518067,32.97067308068409
2025-07-16,26.761896940342236,19.99426425634325,33.19824654728359
2025-07-17,26.521959716416383,19.591524891434712,33.13962847106352
2025-07-18,26.700712744865932,19.840353968124084,33.33688988829357
